"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 05:16:00 EET 2023","Fri Mar 10 05:16:04 EET 2023","3858","Suite","Tests","CartTests","CartTests","addItemSuccessfully","addItemSuccessfully",""
"passed","Fri Mar 10 05:14:04 EET 2023","Fri Mar 10 05:14:08 EET 2023","3878","Suite","Tests","SignUpTests","SignUpTests","userRegInvalidLname","userRegInvalidLname",""
"passed","Fri Mar 10 05:16:07 EET 2023","Fri Mar 10 05:16:13 EET 2023","5864","Suite","Tests","CartTests","CartTests","addItemToCart","addItemToCart",""
"passed","Fri Mar 10 05:16:16 EET 2023","Fri Mar 10 05:16:20 EET 2023","3954","Suite","Tests","CartTests","CartTests","addItemZeroQuantity","addItemZeroQuantity",""
"passed","Fri Mar 10 05:15:44 EET 2023","Fri Mar 10 05:15:49 EET 2023","4729","Suite","Tests","CartTests","CartTests","addItemBlankSize","addItemBlankSize",""
"passed","Fri Mar 10 05:13:21 EET 2023","Fri Mar 10 05:13:26 EET 2023","4805","Suite","Tests","SigInTests","SigInTests","signOut","signOut",""
"passed","Fri Mar 10 05:14:20 EET 2023","Fri Mar 10 05:14:25 EET 2023","5023","Suite","Tests","SignUpTests","SignUpTests","userSignUpSuccessfully","userSignUpSuccessfully",""
"passed","Fri Mar 10 05:13:07 EET 2023","Fri Mar 10 05:13:08 EET 2023","1628","Suite","Tests","SigInTests","SigInTests","signInEmptyEmailField","signInEmptyEmailField",""
"passed","Fri Mar 10 05:14:57 EET 2023","Fri Mar 10 05:15:08 EET 2023","10440","Suite","Tests","EditAccountTests","EditAccountTests","changePassword","changePassword",""
"passed","Fri Mar 10 05:13:35 EET 2023","Fri Mar 10 05:13:39 EET 2023","3602","Suite","Tests","SigInTests","SigInTests","userSignInIncorrectAcc","userSignInIncorrectAcc",""
"passed","Fri Mar 10 05:14:38 EET 2023","Fri Mar 10 05:14:44 EET 2023","6339","Suite","Tests","EditAccountTests","EditAccountTests","blankCurrentPasswordField","blankCurrentPasswordField",""
"passed","Fri Mar 10 05:13:44 EET 2023","Fri Mar 10 05:13:48 EET 2023","3794","Suite","Tests","SignUpTests","SignUpTests","userAlreadyExists","userAlreadyExists",""
"passed","Fri Mar 10 05:14:15 EET 2023","Fri Mar 10 05:14:17 EET 2023","1745","Suite","Tests","SignUpTests","SignUpTests","userRegWeakPass","userRegWeakPass",""
"passed","Fri Mar 10 05:14:29 EET 2023","Fri Mar 10 05:14:35 EET 2023","6324","Suite","Tests","EditAccountTests","EditAccountTests","blankConfirmNewPasswordField","blankConfirmNewPasswordField",""
"passed","Fri Mar 10 05:13:57 EET 2023","Fri Mar 10 05:14:01 EET 2023","3924","Suite","Tests","SignUpTests","SignUpTests","userRegInvalidFname","userRegInvalidFname",""
"passed","Fri Mar 10 05:14:48 EET 2023","Fri Mar 10 05:14:54 EET 2023","6355","Suite","Tests","EditAccountTests","EditAccountTests","blankNewPasswordField","blankNewPasswordField",""
"passed","Fri Mar 10 05:13:16 EET 2023","Fri Mar 10 05:13:18 EET 2023","1609","Suite","Tests","SigInTests","SigInTests","signInInvalidEmail","signInInvalidEmail",""
"passed","Fri Mar 10 05:13:52 EET 2023","Fri Mar 10 05:13:54 EET 2023","1705","Suite","Tests","SignUpTests","SignUpTests","userRegConfirmPass","userRegConfirmPass",""
"passed","Fri Mar 10 05:15:20 EET 2023","Fri Mar 10 05:15:26 EET 2023","6206","Suite","Tests","EditAccountTests","EditAccountTests","weakNewPassword","weakNewPassword",""
"passed","Fri Mar 10 05:15:10 EET 2023","Fri Mar 10 05:15:17 EET 2023","6305","Suite","Tests","EditAccountTests","EditAccountTests","invalidConfirmNewPasswordField","invalidConfirmNewPasswordField",""
"passed","Fri Mar 10 05:15:52 EET 2023","Fri Mar 10 05:15:57 EET 2023","4856","Suite","Tests","CartTests","CartTests","addItemOnly","addItemOnly",""
"passed","Fri Mar 10 05:14:11 EET 2023","Fri Mar 10 05:14:12 EET 2023","1687","Suite","Tests","SignUpTests","SignUpTests","userRegInvalidPass","userRegInvalidPass",""
"passed","Fri Mar 10 05:15:37 EET 2023","Fri Mar 10 05:15:41 EET 2023","4437","Suite","Tests","CartTests","CartTests","addItemBlankQuantity","addItemBlankQuantity",""
"passed","Fri Mar 10 05:15:29 EET 2023","Fri Mar 10 05:15:34 EET 2023","4693","Suite","Tests","CartTests","CartTests","addItemBlankColor","addItemBlankColor",""
"passed","Fri Mar 10 05:13:11 EET 2023","Fri Mar 10 05:13:13 EET 2023","1549","Suite","Tests","SigInTests","SigInTests","signInEmptyPassField","signInEmptyPassField",""
"passed","Fri Mar 10 05:13:29 EET 2023","Fri Mar 10 05:13:32 EET 2023","3185","Suite","Tests","SigInTests","SigInTests","successSignIn","successSignIn",""
